Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,10/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,1/15/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/14/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/7/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/13/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,7/30/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,11/18/08,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,12/5/06,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,3/10/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
Ruger,0.22,10/22,,Rifle,,Pete's Sport Shop,124 SOUTH C ST,,Madera,CA,5/11/07,,,,,United States v. Salgado-Guzman,1:11-cr-00376,California,Eastern District of California,11/03/11,11/03/11,,,,,,,0
